,user_id,event_sequence,steps_before_first_payment,total_payment_success,pre_payment_mod_repeat,total_days,purchase_intented_event_days,purchase_intented_event_days_ratio,segment_rf
0,00381c5b-527e-48d7-a78e-3406a3479620,"['checkout_start', 'payment_success', 'logout', 'logout', 'payment_success', 'feature_click', 'login', 'trial_extension', 'payment_success', 'payment_success', 'logout', 'checkout_start', 'payment_success', 'payment_success', 'logout', 'payment_success', 'payment_success', 'payment_success', 'payment_success', 'login', 'checkout_start', 'checkout_start', 'checkout_start', 'trial_extension', 'checkout_start', 'payment_success', 'login', 'logout', 'logout', 'checkout_start', 'logout']",1.0,11,0,7,7,1.0,loyal_customers_rf
1,00aaca82-902d-467b-8b52-47cc2dd04076,"['logout', 'checkout_start', 'trial_extension', 'trial_extension', 'feature_click', 'logout', 'login', 'checkout_start', 'checkout_start', 'login', 'trial_extension', 'checkout_start', 'checkout_start', 'payment_success', 'trial_extension', 'logout', 'logout', 'login', 'payment_success', 'trial_extension', 'payment_success', 'feature_click', 'login', 'checkout_start', 'checkout_start', 'payment_success', 'feature_click', 'login']",13.0,4,2,8,5,0.625,hibernating_rf
2,00d8c689-f2a7-448b-9393-20a6adca0868,"['payment_success', 'payment_success', 'checkout_start', 'payment_success', 'trial_extension', 'logout', 'payment_success', 'login', 'trial_extension', 'trial_extension', 'login', 'payment_success', 'payment_success', 'login', 'payment_success', 'trial_extension', 'feature_click', 'payment_success', 'trial_extension', 'trial_extension', 'login', 'trial_extension', 'payment_success', 'logout']",0.0,9,0,7,6,0.8571428571428571,cant_loose_rf
3,0429cb6a-75bd-4ff9-ba88-37483e5f3e33,"['payment_success', 'login', 'payment_success', 'trial_extension', 'payment_success', 'trial_extension', 'logout', 'payment_success', 'trial_extension', 'checkout_start', 'logout', 'trial_extension', 'login', 'feature_click', 'login', 'logout', 'logout', 'logout', 'payment_success', 'payment_success', 'login', 'feature_click', 'login', 'payment_success', 'logout']",0.0,7,0,8,7,0.875,champions_rf
4,051b167b-c30d-4155-a35a-6093f480ea88,"['checkout_start', 'checkout_start', 'logout', 'logout', 'payment_success', 'checkout_start', 'feature_click', 'logout', 'logout', 'trial_extension', 'payment_success', 'logout', 'logout', 'logout', 'login', 'feature_click', 'payment_success', 'logout', 'login', 'trial_extension', 'checkout_start', 'feature_click', 'trial_extension', 'trial_extension', 'trial_extension', 'checkout_start']",4.0,3,1,8,7,0.875,new_customers_rf
5,059bff93-8694-4827-9d24-de56ef000fc7,"['feature_click', 'trial_extension', 'payment_success', 'logout', 'payment_success', 'trial_extension', 'logout', 'login', 'logout', 'feature_click', 'payment_success', 'feature_click', 'payment_success', 'logout', 'trial_extension', 'login', 'login', 'checkout_start', 'login', 'trial_extension', 'feature_click', 'payment_success', 'payment_success', 'trial_extension', 'login', 'trial_extension', 'trial_extension', 'logout', 'login', 'payment_success', 'feature_click', 'feature_click']",2.0,7,1,8,6,0.75,at_risk_rf
6,0dbb7dbb-5bee-4151-b5dc-d3f9b50b8ae2,"['trial_extension', 'payment_success', 'trial_extension', 'payment_success', 'login', 'payment_success', 'feature_click', 'checkout_start', 'checkout_start', 'trial_extension', 'login', 'logout', 'logout', 'checkout_start', 'payment_success', 'login', 'trial_extension', 'checkout_start', 'feature_click', 'payment_success', 'feature_click', 'trial_extension', 'trial_extension', 'payment_success', 'trial_extension', 'login', 'logout', 'payment_success', 'payment_success', 'payment_success', 'payment_success', 'payment_success', 'payment_success', 'feature_click', 'trial_extension']",1.0,12,0,8,7,0.875,cant_loose_rf
7,0e7b2651-6e0b-406c-8734-67adb6189838,"['payment_success', 'feature_click', 'logout', 'logout', 'payment_success', 'feature_click', 'logout', 'trial_extension', 'feature_click', 'checkout_start', 'payment_success', 'payment_success', 'checkout_start', 'feature_click', 'checkout_start', 'login', 'feature_click', 'checkout_start', 'trial_extension', 'checkout_start', 'feature_click', 'login', 'payment_success', 'login', 'payment_success', 'logout', 'logout', 'feature_click', 'feature_click']",0.0,6,0,8,6,0.75,need_attention_rf
8,1037e026-6055-4c3c-8583-098e2a2bf832,"['login', 'logout', 'payment_success', 'checkout_start', 'trial_extension', 'logout', 'checkout_start', 'trial_extension', 'trial_extension', 'trial_extension', 'login', 'login', 'login', 'logout', 'payment_success', 'trial_extension', 'logout', 'logout', 'feature_click', 'logout', 'logout', 'payment_success', 'trial_extension', 'trial_extension', 'logout', 'checkout_start', 'payment_success', 'trial_extension']",2.0,4,1,8,5,0.625,potential_loyalists_rf
9,10f96bdb-f0eb-402a-bf68-d09638a5252a,"['logout', 'logout', 'login', 'logout', 'login', 'logout', 'feature_click', 'login', 'payment_success', 'checkout_start', 'login', 'trial_extension', 'checkout_start', 'payment_success', 'trial_extension', 'feature_click', 'logout', 'login', 'payment_success', 'payment_success', 'login', 'logout', 'login', 'feature_click', 'checkout_start', 'logout']",8.0,4,2,8,5,0.625,potential_loyalists_rf
10,135b321e-2861-4195-830a-761f5893fec8,"['checkout_start', 'logout', 'feature_click', 'logout', 'logout', 'payment_success', 'feature_click', 'feature_click', 'payment_success', 'logout', 'checkout_start', 'login', 'checkout_start', 'payment_success', 'logout', 'checkout_start', 'trial_extension', 'checkout_start', 'checkout_start', 'payment_success', 'checkout_start', 'login', 'feature_click', 'logout']",5.0,4,1,8,6,0.75,hibernating_rf
11,1553a711-8d9d-437e-9d45-92ca2a31ac70,"['checkout_start', 'checkout_start', 'trial_extension', 'payment_success', 'checkout_start', 'feature_click', 'checkout_start', 'trial_extension', 'logout', 'feature_click', 'login', 'payment_success', 'logout', 'logout', 'logout', 'logout', 'checkout_start', 'checkout_start', 'payment_success', 'payment_success', 'feature_click', 'feature_click', 'checkout_start', 'payment_success', 'trial_extension', 'payment_success', 'payment_success']",3.0,7,1,8,7,0.875,cant_loose_rf
12,17a888ba-6992-4399-889c-8f3b53bf2b56,"['feature_click', 'trial_extension', 'login', 'trial_extension', 'login', 'trial_extension', 'payment_success', 'login', 'trial_extension', 'logout', 'feature_click', 'checkout_start', 'feature_click', 'trial_extension', 'payment_success', 'payment_success', 'payment_success', 'login', 'checkout_start', 'login', 'checkout_start', 'logout', 'feature_click', 'feature_click']",6.0,4,2,8,6,0.75,hibernating_rf
13,195ae1fb-f831-427d-bb3e-2a54277d5811,"['trial_extension', 'feature_click', 'feature_click', 'payment_success', 'logout', 'trial_extension', 'logout', 'trial_extension', 'login', 'logout', 'feature_click', 'login', 'logout', 'logout', 'trial_extension', 'logout', 'logout', 'logout', 'trial_extension', 'checkout_start', 'trial_extension', 'checkout_start', 'payment_success', 'trial_extension', 'checkout_start', 'feature_click', 'login']",3.0,2,1,8,4,0.5,about_to_sleep_rf
14,1996f70f-ad12-43c5-b576-842a6b9eafa5,"['payment_success', 'checkout_start', 'payment_success', 'login', 'feature_click', 'trial_extension', 'trial_extension', 'feature_click', 'feature_click', 'feature_click', 'feature_click', 'login', 'checkout_start', 'payment_success', 'checkout_start', 'feature_click', 'login', 'feature_click', 'payment_success', 'checkout_start', 'login', 'payment_success', 'logout', 'login', 'payment_success', 'payment_success']",0.0,7,0,8,7,0.875,cant_loose_rf
15,1bf1deb4-62e9-417f-a96c-e8fcc94deba8,"['logout', 'feature_click', 'checkout_start', 'login', 'checkout_start', 'login', 'checkout_start', 'checkout_start', 'checkout_start', 'payment_success', 'login', 'payment_success', 'trial_extension', 'login', 'feature_click', 'trial_extension', 'checkout_start', 'trial_extension', 'checkout_start', 'payment_success', 'checkout_start', 'payment_success', 'payment_success', 'feature_click', 'feature_click', 'login', 'login', 'login', 'logout', 'logout', 'payment_success']",9.0,6,2,8,7,0.875,loyal_customers_rf
16,1d32b55c-4620-4831-ad0b-6872774f339b,"['login', 'login', 'payment_success', 'logout', 'feature_click', 'payment_success', 'feature_click', 'payment_success', 'trial_extension', 'feature_click', 'feature_click', 'logout', 'login', 'feature_click', 'login', 'feature_click', 'checkout_start', 'trial_extension', 'feature_click', 'feature_click', 'payment_success', 'payment_success', 'payment_success', 'checkout_start', 'logout', 'feature_click', 'payment_success', 'login', 'trial_extension', 'logout', 'login', 'trial_extension']",2.0,7,1,7,5,0.7142857142857143,champions_rf
